,RA,DEC,z,INSTR,DR12_NAME,NAME
QSO256,04h15m15.200s,-43d57m52.00s,4.07,XSHOOT,None,QSO256
QSO261,07h14m31.370s,-64d55m10.60s,4.46,XSHOOT,None,QSO261
QSO266,09h55m00.100s,-01d30m07.00s,4.43,XSHOOT,SDSSJ095500.09-013006.7,QSO266
QSO271,00h03m22.780s,-26d03m19.00s,4.01,XSHOOT,None,QSO271
QSO276,16h58m44.062s,-07d39m17.69s,3.74,XSHOOT,None,QSO276
QSO281,01h17m31.200s,+15d52m16.00s,4.24,XSHOOT,None,QSO281
QSO286,02h48m54.250s,+18d02m49.50s,4.42,XSHOOT,None,QSO286
QSO291,12h51m22.738s,+27d15m23.61s,3.67,XSHOOT,SDSSJ125122.73+271523.6,QSO291
QSO296,09h55m44.290s,-01d23m57.51s,2.833,XSHOOT,SDSSJ095544.28-012357.4,QSO296
QSO301,23h38m45.449s,-00d03m31.83s,2.99,XSHOOT,SDSSJ233845.45-000331.8,QSO301
QSO306,14h28m16.510s,+02d32m29.20s,3.03,XSHOOT,SDSSJ142816.51+023229.2,QSO306
QSO311,21h57m27.260s,+00d15m58.40s,2.574,XSHOOT,SDSSJ215727.26+001558.4,QSO311
